summary,description
Create teams,"Develop a project-specific admin team, methods team, and data team."
Create milestones,Work with MD Methods Development and Monitoring Committee to create reasonable project milestones and deadlines.
Set up infrastructure,"Set up project infrastructure (e.g, Google Drive, Gmail account, Slack channels, GitHub repos)."
Solicit methods ideas,Hold town hall meeting with MD community to solicit ideas and input for methods and participation guidelines.
Generate methods,Work with MD Methods Development and Monitoring Committee to generate methods.
Present methods,Present full draft of methods for feedback from MD community.
Pilot test,Pilot test methods with subjects from multiple labs.
Create guidelines,"Determine participation guidelines (i.e., the authorship requirements and project-specific contribution areas)"
Pre-register,Write pre-registration materials or registered report and send out for final approval from MD community.
Develop data system,"Work with MD Data Management and Open Science Committee to figure out accessible, easy-to-use data entry system."
Create methods materials,"Create relevant methods materials (methods guide, ‘at-a-glance’ aids, participant email templates, coding sheets, etc.) for participating labs."
Recruit labs,Work with MD Communications and Community Building team to advertise the project and recruit participating labs.
